"Username","Date","Rating","Comment","Link"
"Thomas Tewoldebrhan",6/3/2018 8:25:38 PM,"none","When Jesus came down from the hill, great crowds followed him. 2 Then a man with a skin disease came to Jesus. The man bowed down before him and said, “Lord, you can heal me if you will.”

3 Jesus reached out his hand and touched the man and said, “I will. Be healed!” And immediately the man was healed from his disease. 4 Then Jesus said to him, “Don’t tell anyone about this. But go and show yourself to the priest[a] and offer the gift Moses commanded[b] for people who are made well. This will show the people what I have done.”","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgwsIaR4B3Dj29kw1kl4AaABAg"
"Sandra Passion",6/3/2018 8:15:56 PM,"none","May his soul rest in internal peace","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxagD78d_4pGPTxyUZ4AaABAg"
"WRESTLING DUNYA",6/3/2018 8:12:51 PM,"none","May God give him place in jannat","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxPCUo7LRz2_frBnjJ4AaABAg"
"Saliya Abdo",6/3/2018 8:08:42 PM,"none","raabiiin janatan siha gamachiiisu","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgwpQVmM6rNlrx9jYHt4AaABAg"
"yagmurum cc",6/3/2018 7:40:49 PM,"none","Allah rahmet eylesin mekanın cennet olsun kardeşim ne mübarek bir ayda gittin bu yalan dünyadan😔","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugxm63lelaIF5FbpDUF4AaABAg"
"Neema Emmanuel",6/3/2018 7:40:38 PM,"none","r. i. p","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxGDNGdi6xVBJx2le54AaABAg"
"Danish Lodhi",6/3/2018 7:18:37 PM,"none","ALLAH PAK ALI BHAI KI MAGFIRAT KARNA ALI BHAI KO JANNATUL FIRDOUSL M ALA SE ALA DARJAH DENA","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxOqeorBSp_zLzioQl4AaABAg"
"Mahmud Celilov.94",6/3/2018 7:13:44 PM,"none","ALLAH RƏHMƏT EYLƏSİN İNŞƏALLAH","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgypTEa5bxB8hZ-n-El4AaABAg"
"M M",6/3/2018 6:54:26 PM,"none","استوفيت كل شروط حسن الخاتمة يا علي ، رحمة الله عليك واسكنك فسيح جنانه ، توفاك الله في هاذه الأيام الفضيله الكريمه ، وإنشاء الله سيكرمك الله  باذنه تعالى ، رحمة الله عليك 😔","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxN7wBiWBx36ixoGgJ4AaABAg"
"muhammad wasim",6/3/2018 6:44:27 PM,"none","اللهم اغفر له وارحمه وعافه واعف عنه ووسع مدخله واكرم نزله","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugy87iECE1DarSi1-HJ4AaABAg"
